book_id,title,price_gbp,price_inr,rating,in_stock,category_name
43,1st to Die (Women's Murder Club #1),53.98,5694.89,1,1,Mystery
15,A Murder in Time,16.64,1755.52,1,1,Mystery
21,A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,1,Mystery
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5,1,Mystery
42,Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1,Mystery
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1,Mystery
38,Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1,Mystery
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,1,Mystery
37,Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1,Mystery
25,Hide Away (Eve Duncan #20),11.84,1249.12,1,1,Mystery
13,"In a Dark, Dark Wood",19.63,2070.96,1,1,Mystery
33,In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,Mystery
24,Most Wanted,35.28,3722.04,3,1,Mystery
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,Mystery
28,Playing with Fire,13.71,1446.41,3,1,Mystery
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,Mystery
12,Sharp Objects,47.82,5045.01,4,1,Mystery
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,1,Mystery
18,That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,Mystery
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,Mystery
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,1,Mystery
35,The Exiled,43.45,4583.98,3,1,Mystery
41,The Girl In The Ice (DCI Erika Foster #1),15.85,1672.18,3,1,Mystery
40,The Girl You Lost,12.29,1296.59,5,1,Mystery
17,The Last Mile (Amos Decker #2),54.21,5719.16,2,1,Mystery
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,Mystery
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1,Mystery
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,Mystery
14,The Past Never Ends,56.5,5960.75,4,1,Mystery
34,The Silkworm (Cormoran Strike #2),23.05,2431.78,5,1,Mystery
27,The Widow,27.26,2875.93,2,1,Mystery
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1,Mystery
49,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,2997.26,1,1,Science
45,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6051.48,5,1,Science
52,Peak: Secrets from the New Science of Expertise,16.28,1717.54,2,1,Science
56,Seven Brief Lessons on Physics,30.6,3228.3,4,1,Science
46,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4720.07,4,1,Science
55,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2725.06,2,1,Science
54,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,6050.42,5,1,Science
53,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,1374.66,4,1,Science
48,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,5898.5,1,1,Science
51,The Grand Design,13.76,1451.68,3,1,Science
44,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,1,Science
50,The Origin of Species,10.01,1056.06,4,1,Science
57,The Selfish Gene,29.45,3106.98,1,1,Science
47,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,3961.52,1,1,Science
11,"1,000 Places to See Before You Die",26.08,2751.44,5,1,Travel
6,A Summer In Europe,44.34,4677.87,2,1,Travel
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,Travel
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,Travel
1,It's Only the Himalayas,45.17,4765.44,2,1,Travel
10,Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,Travel
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,Travel
7,The Great Railway Bazaar,30.54,3221.97,1,1,Travel
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,Travel
5,Under the Tuscan Sun,37.33,3938.31,3,1,Travel
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,Travel
